timestamp,btc_open,btc_close,btc_volume,btc_number_of_trades,eth_open,eth_close,eth_volume,eth_number_of_trades,djia_open,djia_close,djia_volume,ixic_open,ixic_close,ixic_volume
1564440000000.0,9575.0,10080.53,39515.35456,364212,209.57,218.42,207213.5566,122971,27145.39062,27198.01953,293250000.0,8231.76953,8273.61035,1884300000.0
1564530000000.0,10080.53,10374.99,41727.63703,378062,218.42,216.84,186806.1884,116919,27244.66992,26864.26953,385150000.0,8290.7998,8175.41992,2667060000.0
1564620000000.0,10375.0,10523.75,42990.44422,431322,216.8,217.61,206867.0304,123571,26879.85938,26583.41992,386320000.0,8190.56006,8111.12012,2792650000.0
1564700000000.0,10523.75,10816.86,33802.31882,348893,217.69,222.14,181591.953,110659,26528.66016,26485.00977,327640000.0,8056.41992,8004.06982,2252550000.0
1564790000000.0,10816.86,10929.23,39924.74514,353721,222.14,221.79,135622.0258,90502,26438.85026,26229.25326,359173333.3,7978.723307,7911.393227,2380613333.0
1564880000000.0,10929.99,11828.8,65153.67371,622610,221.79,233.54,307956.2721,173092,26349.04037,25973.49674,390706666.7,7901.026693,7818.716633,2508676667.0
1564960000000.0,11830.0,11481.69,76705.38988,625827,233.53,226.28,341279.0816,172932,26259.23047,25717.74023,422240000.0,7823.33008,7726.04004,2636740000.0
1565050000000.0,11481.69,11975.03,69173.39035,592916,226.31,226.1,279104.7037,159413,25810.61914,26029.51953,318160000.0,7804.50977,7833.27002,2201610000.0
1565140000000.0,11975.04,11999.77,51207.25717,473584,226.11,221.39,236886.3542,132568,25814.2207,26007.07031,344790000.0,7747.27002,7862.83008,2453230000.0
1565220000000.0,11994.17,11879.99,39427.15259,410902,221.38,210.53,232062.1276,140538,26086.51953,26378.18945,282530000.0,7921.58984,8039.16016,2415670000.0
1565310000000.0,11879.98,11309.31,42633.08705,399237,210.52,206.48,252614.0239,142706,26337.08984,26287.43945,240260000.0,7997.18994,7959.14014,2224330000.0
1565400000000.0,11309.24,11549.97,26772.90691,306234,206.48,216.42,188474.0905,112904,26281.36328,26157.10612,226636666.7,7967.290037,7927.230147,2168340000.0
1565480000000.0,11539.08,11396.08,17568.22708,255966,216.41,211.41,122760.9462,85543,26225.63672,26026.77278,213013333.3,7937.390133,7895.320153,2112350000.0
1565570000000.0,11398.35,10892.71,33234.72968,337834,211.58,209.3,166922.482,102967,26169.91016,25896.43945,199390000.0,7907.49023,7863.41016,2056360000.0
1565650000000.0,10893.36,10050.37,54451.8475,534507,209.31,187.1,325228.9893,171181,25888.88086,26279.91016,308900000.0,7852.37012,8016.35986,2346980000.0
1565740000000.0,10055.16,10293.93,38174.45112,373368,187.08,188.03,237953.0943,119008,26035.08008,25479.41992,352250000.0,7877.33008,7773.93994,2522870000.0
1565830000000.0,10296.77,10331.54,51758.14292,504740,187.98,184.88,282177.0158,150695,25514.25,25579.39062,332600000.0,7790.2002,7766.62012,2182590000.0
1565910000000.0,10331.15,10216.02,29000.5812,332795,184.83,185.59,138799.6151,101721,25678.16992,25886.00977,276210000.0,7828.3501,7895.99023,1995130000.0
1566000000000.0,10216.05,10306.78,24085.39517,265705,185.67,194.33,175363.5062,102057,25792.13346,25969.26953,268353333.3,7887.626793,7931.59684,1975080000.0
1566090000000.0,10306.17,10915.54,37243.31922,337022,194.32,202.28,239541.5978,116606,25906.09701,26052.5293,260496666.7,7946.903487,7967.20345,1955030000.0
1566170000000.0,10914.73,10760.51,32298.92168,305065,202.24,196.6,189297.7549,109559,26020.06055,26135.78906,252640000.0,8006.18018,8002.81006,1934980000.0
1566260000000.0,10760.51,10142.57,47355.71928,458814,196.55,187.45,284973.6419,150215,26086.85938,25962.43945,238100000.0,7989.35986,7948.56006,1747580000.0
1566350000000.0,10140.82,10099.88,34059.64274,401148,187.45,190.35,245575.9877,160105,26145.35938,26202.73047,208790000.0,8017.06982,8020.20996,1716370000.0
1566430000000.0,10099.9,10389.55,27550.33617,326866,190.36,194.02,192548.5155,128090,26271.64062,26252.24023,222810000.0,8038.79004,7991.39014,1777630000.0
1566520000000.0,10388.16,10134.35,27692.45684,313227,194.02,190.6,167806.3429,104191,26134.21094,25628.90039,364260000.0,7943.6499,7751.77002,2207070000.0
1566600000000.0,10134.61,10142.69,26271.6574,289956,190.6,186.54,169862.9152,103115,26031.49089,25718.87695,317100000.0,7905.626627,7785.76009,2034333333.0
1566690000000.0,10142.69,10372.25,41687.5116,405316,186.54,188.67,254397.7947,130551,25928.77083,25808.85352,269940000.0,7867.603353,7819.75016,1861596667.0
1566780000000.0,10373.6,10185.05,28402.77538,292888,188.61,187.24,157898.563,96138,25826.05078,25898.83008,222780000.0,7829.58008,7853.74023,1688860000.0
1566860000000.0,10185.69,9721.0,42110.55538,381293,187.3,173.03,334480.6176,146334,26014.46094,25777.90039,263530000.0,7908.77979,7826.9502,1913760000.0
1566950000000.0,9721.0,9498.44,35532.69491,343887,173.03,169.01,295241.216,142645,25712.99023,26036.09961,207070000.0,7798.3501,7856.87988,1656930000.0
1567040000000.0,9499.01,9584.54,26834.3181,259270,169.03,168.5,238616.6887,114316,26249.08984,26362.25,208650000.0,7945.77979,7973.39014,1700840000.0
1567120000000.0,9582.76,9587.47,17130.29007,199188,168.48,171.57,194999.1958,101425,26476.39062,26403.2793,216160000.0,8015.16016,7962.87988,1665840000.0
1567210000000.0,9588.74,9724.98,19545.40484,191324,171.52,170.74,191140.5237,93036,26406.85791,26331.96436,217922500.0,7987.980105,7940.69995,1733432500.0
1567300000000.0,9723.59,10340.0,44740.24809,354155,170.73,178.05,294627.3125,116596,26337.3252,26260.64942,219685000.0,7960.80005,7918.52002,1801025000.0
1567380000000.0,10340.0,10615.28,47998.37678,416076,178.0,178.75,327857.8545,147758,26267.79248,26189.33447,221447500.0,7933.619995,7896.34009,1868617500.0
1567470000000.0,10611.85,10567.02,43943.88903,383457,178.79,174.72,286226.2517,140298,26198.25977,26118.01953,223210000.0,7906.43994,7874.16016,1936210000.0
1567560000000.0,10565.92,10564.49,33970.96064,309846,174.7,173.75,232753.836,123424,26301.99023,26355.4707,202710000.0,7949.81006,7976.87988,1891300000.0
1567640000000.0,10563.13,10298.73,58799.64096,455334,173.74,169.08,315822.3798,146974,26603.15039,26728.15039,256670000.0,8061.29004,8116.83008,2096300000.0
1567730000000.0,10298.71,10455.88,27637.87739,272011,169.11,177.62,253831.2317,134155,26790.25,26797.46094,209700000.0,8125.58008,8103.06982,1876380000.0
1567810000000.0,10455.9,10381.18,23984.67202,237752,177.58,181.19,290083.475,143793,26815.57682,26810.14388,230840000.0,8127.356773,8097.85986,1975000000.0
1567900000000.0,10381.24,10303.12,39835.72761,330459,181.18,180.54,273729.9487,140362,26840.90365,26822.82683,251980000.0,8129.133467,8092.6499,2073620000.0
1567990000000.0,10302.58,10098.15,28915.41223,286763,180.52,179.81,238387.51,116866,26866.23047,26835.50977,273120000.0,8130.91016,8087.43994,2172240000.0
